Keyword,Competition,Global Monthly Searches,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10,Jun-10,May-10,Apr-10,Mar-10,Feb-10,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
new york restaurant guide,0.6,3600,-,1900,2400,2400,1900,1900,2400,1900,1900,1600,1900,1900,-,-,$1.05 ,-,2400
places to see in new york,0.62,18100,-,12100,12100,12100,12100,12100,14800,12100,14800,12100,12100,8100,-,-,$0.86 ,-,12100
albany new york,0.26,90500,-,74000,74000,74000,74000,74000,74000,74000,74000,74000,90500,74000,-,-,$1.58 ,-,74000
hotel carter new york,0.61,9900,-,1600,2400,3600,3600,3600,2900,2900,2900,1900,1900,1300,-,-,$0.00 ,-,2400
weather new york,0.12,673000,-,550000,301000,368000,368000,246000,301000,246000,368000,301000,301000,550000,-,-,$0.00 ,-,368000
things to see in new york city,0.59,2400,-,1600,1600,1300,1300,1300,1900,1900,1900,1900,1900,1600,-,-,$0.86 ,-,1600
new york city weather,0.19,135000,-,135000,90500,90500,110000,60500,60500,74000,90500,90500,90500,135000,-,-,$0.18 ,-,90500
belvedere hotel new york,0.83,18100,-,5400,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,-,-,$4.12 ,-,6600
new york city facts,0.31,5400,-,4400,5400,5400,5400,1900,1600,2400,6600,5400,5400,4400,-,-,$0.43 ,-,4400
plaza hotel new york city,0.65,4400,-,2400,2900,2400,1900,1900,1900,1600,1900,1900,1900,1600,-,-,$0.00 ,-,1900
unclaimed money new york,0.48,1900,-,1600,1900,1900,1900,1900,1900,1900,2400,1900,1900,1600,-,-,$0.40 ,-,1900
weather in new york city this week,0.14,2400,-,1000,880,720,590,390,720,1300,1900,1900,2400,2400,-,-,$0.05 ,-,1300
the standard hotel new york,0.64,6600,-,1900,2400,2900,2900,2900,2900,2900,3600,3600,3600,3600,-,-,$0.05 ,-,2900
places to eat in new york,0.37,6600,-,4400,4400,4400,3600,3600,4400,3600,4400,4400,4400,3600,-,-,$0.71 ,-,4400
Keyword,Competition,Global Monthly Searches,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10,Jun-10,May-10,Apr-10,Mar-10,Feb-10,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
